Control ID,Control Name,Family,Status,Fixops Component,Test Reference,Notes
AU-9,Protection of Audit Information,AU,IMPLEMENTED,core/audit_chain.py AuditChain,tests/test_scif_stage1.py,SHA-256 prev-hash chain detects tampering at exact row
AU-9(2),Store on Separate Physical Systems,AU,PARTIAL,,,POA-003 off-system backup runbook
AU-9(3),Cryptographic Protection,AU,IMPLEMENTED,core/audit_chain.py + core/hsm_provider.py,tests/test_scif_stage1.py,HSM RSA-3072 checkpoint signing every 100 rows
AU-10,Non-Repudiation,AU,IMPLEMENTED,core/audit_chain.py + core/hsm_provider.py,tests/test_scif_stage1.py,
AU-11,Audit Record Retention,AU,PARTIAL,core/data_retention_engine.py,,POA-006 5-year prune
AU-12,Audit Record Generation,AU,IMPLEMENTED,core/write_audit_middleware.py,tests/test_scif_stage1.py,All routers covered
CA-2,Control Assessments,CA,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md (this sprint),,
CA-3,Information Exchange,CA,DOCUMENTED,docs/scif/SSP_aldeci_2026-04-26.md §2.4,,
CA-5,Plan of Action and Milestones,CA,IMPLEMENTED,docs/scif/POAM_aldeci_2026-04-26.md,,Weekly cadence during pilot
CA-6,Authorization,CA,CUSTOMER-ACTION,,,Customer AO
CA-7,Continuous Monitoring,CA,PARTIAL,core/audit_analytics.py; core/anomaly_detector.py; core/scheduled_reports_engine.py; core/zero_trust_policy_engine.py,,POA-007 ConMon glue
CA-8,Penetration Testing,CA,IMPLEMENTED,core/auto_pentest.py; core/micro_pentest.py; core/pentest_scheduler.py; core/pentest_mgmt_engine.py,,POA-014 schedule + POA-001 3PAO
CA-9,Internal System Connections,CA,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md §2.4,,
CM-2,Baseline Configuration,CM,IMPLEMENTED,docker/Dockerfile.scif; scripts/build_scif_bundle.sh; manifests/sha256.txt,tests/test_scif_stage1.py,Reproducible
CM-3,Configuration Change Control,CM,IMPLEMENTED,core/change_management.py; core/change_tracker.py; core/material_change_detector.py,,
CM-3(2),Testing Validation and Documentation of Changes,CM,IMPLEMENTED,Beast-Mode test suite (716+ tests),,
CM-4,Impact Analyses,CM,IMPLEMENTED,core/material_change_detector.py,,
CM-5,Access Restrictions for Change,CM,IMPLEMENTED,core/rbac_engine.py,,
CM-6,Configuration Settings,CM,IMPLEMENTED,core/configuration.py; core/fips_boot.py; FIPS_STRICT_BOOT,tests/test_scif_stage1.py,Refuses non-compliant boot
CM-7,Least Functionality,CM,IMPLEMENTED,docker/Dockerfile.scif (UBI9-minimal microdnf clean),,
CM-8,System Component Inventory,CM,IMPLEMENTED,core/sbom_engine.py; core/sbom_manager.py; core/sbom_runtime_correlator.py,,CycloneDX SBOMs
CM-8(3),Automated Unauthorized Component Detection,CM,IMPLEMENTED,core/sbom_runtime_correlator.py,,
CM-10,Software Usage Restrictions,CM,IMPLEMENTED,core/license_compliance.py; core/license_auditor.py; core/license_scanner.py,,
CM-11,User-Installed Software,CM,N/A,docker --read-only,,Read-only rootfs
CM-12,Information Location,CM,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md,,
CM-14,Signed Components,CM,PARTIAL,scripts/build_scif_bundle.sh GPG sig,,POA-002 cosign in CI
CP-2,Contingency Plan,CP,CUSTOMER-ACTION,,,Customer policy
CP-9,System Backup,CP,IMPLEMENTED,core/backup_engine.py; core/backup_validator.py,,
CP-10,System Recovery and Reconstitution,CP,IMPLEMENTED,SQLite file restore + PKCS#11 token re-import,,
CP-12,Safe Mode,CP,IMPLEMENTED,docker/scif-entrypoint.sh FIPS_STRICT_BOOT exit codes 10-13,tests/test_scif_stage1.py,Fail-closed
IA-2,Identification and Authentication (Org Users),IA,IMPLEMENTED,core/scim_provisioning_engine.py,,SAML/OIDC
IA-2(1),MFA for Privileged Accounts,IA,IMPLEMENTED,core/mfa_management_engine.py TOTP + WebAuthn,,
IA-2(2),MFA for Non-Privileged Accounts,IA,IMPLEMENTED,core/mfa_management_engine.py,,
IA-2(8),Replay Resistant Authentication,IA,IMPLEMENTED,core/mfa_management_engine.py FIDO2,,
IA-2(11),MFA for Remote Access (Hardware Token),IA,IMPLEMENTED,core/mfa_management_engine.py FIDO2,,YubiKey/PIV
IA-2(12),Acceptance of PIV Credentials,IA,PARTIAL,core/mfa_management_engine.py,,POA-004 clearance pass-through
IA-3,Device Identification and Authentication,IA,PARTIAL,core/service_account_auditor_engine.py,,
IA-4,Identifier Management,IA,IMPLEMENTED,core/rbac_engine.py,,
IA-5,Authenticator Management,IA,IMPLEMENTED,core/password_policy_engine.py,,
IA-5(1),Password-Based Authentication,IA,IMPLEMENTED,core/password_policy_engine.py,,
IA-5(2),PKI-Based Authentication,IA,IMPLEMENTED,core/crypto_key_management_engine.py,,
IA-6,Authentication Feedback,IA,IMPLEMENTED,suite-ui/aldeci-ui-new/src/pages/Login.tsx,,
IA-7,Cryptographic Module Authentication,IA,IMPLEMENTED,core/fips_boot.py run_fips_boot(),tests/test_scif_stage1.py,Refuses non-FIPS imports
IA-8,Identification of Non-Org Users,IA,N/A,,,Air-gap
IR-1,Policy and Procedures,IR,INHERITED,,,
IR-4,Incident Handling,IR,IMPLEMENTED,core/incident_response_engine.py; core/incident_orchestration_engine.py; core/incident_triage_engine.py; core/incident_timeline_engine.py,,
IR-4(1),Automated Incident Handling Processes,IR,IMPLEMENTED,core/incident_orchestration_engine.py,,
IR-5,Incident Monitoring,IR,IMPLEMENTED,core/cloud_incident_response_engine.py; core/breach_response_engine.py,,
IR-6,Incident Reporting,IR,PARTIAL,core/incident_comms_engine.py,,POA-005 SOC integration
IR-7,Incident Response Assistance,IR,IMPLEMENTED,core/incident_kb_engine.py,,
IR-8,Incident Response Plan,IR,DOCUMENTED,docs/scif/SSP_aldeci_2026-04-26.md,,Templated playbooks
IR-9,Information Spillage Response,IR,IMPLEMENTED,core/breach_response_engine.py + core/data_retention_engine.py crypto-erase,,
MA-2,Controlled Maintenance,MA,DOCUMENTED,docs/scif/SCIF_PILOT_BUNDLE_README.md §5,,
MA-3,Maintenance Tools,MA,IMPLEMENTED,docker/Dockerfile.scif (no maint tools in image),,
MA-4,Non-Local Maintenance,MA,N/A,,,Air-gap (must be local)
MA-5,Maintenance Personnel,MA,INHERITED,,,Customer clearance program
MA-6,Timely Maintenance,MA,DOCUMENTED,docs/scif/SCIF_PILOT_BUNDLE_README.md,,
MP-2,Media Access,MP,INHERITED,,,Customer policy
MP-3,Media Marking,MP,INHERITED,,,Customer policy
MP-4,Media Storage,MP,INHERITED,,,Customer policy
MP-5,Media Transport,MP,INHERITED,,,Customer policy
MP-6,Media Sanitization,MP,IMPLEMENTED,core/data_retention_engine.py crypto-erase via HSM key destroy,,
MP-7,Media Use,MP,DOCUMENTED,docs/scif_readiness_2026-04-26.md ICD-705,,
PE-1 through PE-23,Physical and Environmental,PE,INHERITED,,,SCIF physical security per ICD-705
PL-1,Policy and Procedures,PL,INHERITED,,,
PL-2,System Security Plan,PL,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md,,This document
PL-4,Rules of Behavior,PL,CUSTOMER-ACTION,,,
PL-8,Security and Privacy Architectures,PL,IMPLEMENTED,docs/ARCHITECTURE_v3.md; docs/scif/SSP_aldeci_2026-04-26.md §2,,
PL-9,Central Management,PL,IMPLEMENTED,suite-api/apps/api/app.py FastAPI gateway,,
PL-10,Baseline Selection,PL,IMPLEMENTED,FedRAMP High,,
PL-11,Baseline Tailoring,PL,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md,,
PM-1 through PM-32,Program Management,PM,INHERITED,,,Organizational program-level
PS-1 through PS-9,Personnel Security,PS,INHERITED,,,Customer/agency clearance program
RA-2,Security Categorization,RA,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md FIPS 199,,High/High/Mod
RA-3,Risk Assessment,RA,IMPLEMENTED,core/risk_scoring_engine.py; core/risk_orchestrator.py; core/risk_prioritizer.py; suite-api fair_per_bu_router.py,,
RA-3(1),Supply Chain Risk Assessment,RA,IMPLEMENTED,core/supply_chain_risk_engine.py,,
RA-5,Vulnerability Monitoring and Scanning,RA,IMPLEMENTED,core/scanner_parsers.py (25 parsers); 8 native scanners; core/continuous_validation.py; core/agentless_snapshot_scan_engine.py,,
RA-5(2),Update Vulnerabilities to Be Scanned,RA,IMPLEMENTED,suite-feeds/ (28+ feeds with offline mirror),,
RA-7,Risk Response,RA,IMPLEMENTED,core/decision_policy.py; core/exception_policy.py,,
RA-9,Criticality Analysis,RA,IMPLEMENTED,suite-api cmdb_router.py; core/attack_surface_monitor.py,,
RA-10,Threat Hunting,RA,IMPLEMENTED,suite-api endpoint_threat_hunting_router.py; core/dark_web_monitoring_engine.py; core cyber_threat_intelligence,,
SA-3,System Development Life Cycle,SA,DOCUMENTED,CLAUDE.md; docs/ARCHITECTURE_v3.md,,
SA-4,Acquisition Process,SA,INHERITED,,,
SA-8,Security Engineering Principles,SA,IMPLEMENTED,docs/scif/SSP_aldeci_2026-04-26.md §1,,Defense in depth + least privilege + fail-closed
SA-9,External System Services,SA,N/A,,,Air-gap
SA-10,Developer Configuration Management,SA,IMPLEMENTED,Git + signed releases + scripts/build_scif_bundle.sh,,
SA-11,Developer Testing and Evaluation,SA,IMPLEMENTED,716+ Beast-Mode tests; tests/test_scif_stage1.py 12/12 pass,tests/test_scif_stage1.py,
SA-15,Development Process Standards and Tools,SA,DOCUMENTED,CLAUDE.md,,
SA-22,Unsupported System Components,SA,IMPLEMENTED,core/sbom_runtime_correlator.py; dependabot triage,,POA-012 backlog
SC-2,Separation of System and User Functionality,SC,IMPLEMENTED,suite-api gateway + core/rbac_engine.py,,
SC-3,Security Function Isolation,SC,IMPLEMENTED,core/hsm_provider.py PKCS#11 boundary,,
SC-4,Information in Shared System Resources,SC,IMPLEMENTED,core/tenant_isolation.py,,
SC-5,Denial-of-Service Protection,SC,IMPLEMENTED,core/tenant_rate_limiter.py; suite-api tenant_rate_limiter_router.py,,
SC-7,Boundary Protection,SC,INHERITED,,,Customer host firewall
SC-7(8),Outbound Traffic Restriction,SC,IMPLEMENTED,core/airgap_deployment.py BLOCKED_EXTERNAL_HOSTS,tests/test_airgap_deployment.py,Active probe
SC-8,Transmission Confidentiality and Integrity,SC,IMPLEMENTED,core/fips_encryption.py + TLS 1.2+,,
SC-8(1),Cryptographic Protection,SC,IMPLEMENTED,core/fips_encryption.py,,
SC-12,Cryptographic Key Establishment and Management,SC,IMPLEMENTED,core/hsm_provider.py PKCS11Provider; core/crypto_key_management_engine.py,tests/test_scif_stage1.py,SENSITIVE+EXTRACTABLE=False
SC-12(1),Availability,SC,IMPLEMENTED,core/key_manager.py rotation,,
SC-12(2),Symmetric Keys,SC,IMPLEMENTED,core/hsm_provider.py AES,,
SC-12(3),Asymmetric Keys,SC,IMPLEMENTED,core/hsm_provider.py RSA-3072,,
SC-13,Cryptographic Protection,SC,IMPLEMENTED,core/fips_encryption.py + core/quantum_safe_crypto_engine.py,tests/test_fips_encryption.py; tests/test_quantum_safe_crypto_engine.py,FIPS-approved + PQC
SC-17,PKI Certificates,SC,IMPLEMENTED,core/crypto_key_management_engine.py,,
SC-23,Session Authenticity,SC,IMPLEMENTED,suite-api/apps/api/dependencies.py,,
SC-28,Protection of Information at Rest,SC,PARTIAL,core/fips_encryption.py FIPSEncryption,,POA-013 per-engine wiring
SC-28(1),Cryptographic Protection,SC,PARTIAL,core/fips_encryption.py,,POA-013
SC-39,Process Isolation,SC,IMPLEMENTED,docker/Dockerfile.scif --cap-drop=ALL --no-new-privileges,,
SI-2,Flaw Remediation,SI,IMPLEMENTED,core/patch_management_engine.py; core/patch_automation_engine.py; core/patch_prioritizer.py,,
SI-3,Malicious Code Protection,SI,IMPLEMENTED,core/container_scanner.py; core/dast_scanner.py; core/iac_scanner_engine.py; core/dep_scanner.py,,
SI-4,System Monitoring,SI,IMPLEMENTED,core/anomaly_detector.py; core/network_anomaly_detector.py; core/network_monitoring_engine.py; core/access_anomaly_engine.py; core/llm_monitor.py,,
SI-5,Security Alerts Advisories Directives,SI,IMPLEMENTED,suite-feeds/ (28+ feeds),,
SI-7,Software Firmware and Information Integrity,SI,IMPLEMENTED,core/audit_chain.py + suite-api scif/audit-chain/verify,tests/test_scif_stage1.py,
SI-7(1),Integrity Checks,SI,IMPLEMENTED,manifests/sha256.txt; core/audit_chain.py verify_full,tests/test_scif_stage1.py,
SI-7(7),Integration of Detection and Response,SI,IMPLEMENTED,core/anomaly_detector.py + core/incident_response_engine.py,,
SI-10,Information Input Validation,SI,IMPLEMENTED,Pydantic v2 schemas across 580 routers,,
SI-11,Error Handling,SI,IMPLEMENTED,core/error_responses.py; core/error_handling_auditor.py,,
SI-12,Information Management and Retention,SI,IMPLEMENTED,core/data_retention_engine.py,,
SI-16,Memory Protection,SI,IMPLEMENTED,docker/Dockerfile.scif --read-only --tmpfs noexec,,
SR-2,Supply Chain Risk Management Plan,SR,DOCUMENTED,docs/scif/SSP_aldeci_2026-04-26.md §4.19,,
SR-3,Supply Chain Controls and Processes,SR,IMPLEMENTED,core/supply_chain_engine.py; core/supply_chain_monitoring_engine.py; core/supply_chain_risk_engine.py; core/supply_chain_intel_engine.py,,
SR-4,Provenance,SR,IMPLEMENTED,core/slsa_provenance_engine.py (SLSA L2 today),,POA-010 L3 hermetic
SR-5,Acquisition Strategies Tools Methods,SR,IMPLEMENTED,core/sbom_export_engine.py,,
SR-6,Supplier Assessments and Reviews,SR,IMPLEMENTED,core/supply_chain_risk_engine.py,,
SR-9,Tamper Resistance and Detection,SR,IMPLEMENTED,manifests/sha256.txt + GPG sig + core/supply_chain_attack_detection_engine.py,,
SR-10,Inspection of Systems or Components,SR,IMPLEMENTED,core/supply_chain_analyzer.py,,
SR-11,Component Authenticity,SR,PARTIAL,scripts/build_scif_bundle.sh GPG; cosign POA-002,,
PT-1 through PT-8,PII Processing and Transparency,PT,N/A,,,No PII in canonical CTEM mission
